    0.613787651062011719E+02    0.214067271351814248E+00   -0.299726986885070801E+01    0.159694898128509521E+01    0.945864915847778320E+00    0.174223160743713379E+01   -0.453757325802766936E+05   -0.601646350544151787E+01    1
    0.951035082340240479E+02    0.691838783025741533E+00   -0.235969483852386475E+00   -0.190623271465301514E+01    0.925173699855804443E+00    0.190069198608398438E+01   -0.436246693925763029E+05   -0.601896350544151471E+01    1
    0.929648667573928833E+02    0.262617620825767506E+00   -0.281799674034118652E+00   -0.188320004940032959E+01    0.879613578319549561E+00    0.468095946311950684E+01   -0.427258443116127601E+05   -0.602146350544151865E+01    1
    0.529272973537445068E+02    0.638275513052940280E+00   -0.120901089906692505E+01   -0.257394254207611084E+01    0.976369976997375488E+00    0.241099476814270020E+01   -0.412608447195217595E+05   -0.602396350544152615E+01    1
    0.901407450437545776E+02    0.215862467885017395E+00   -0.572665929794311523E+00    0.236003959178924561E+01    0.999870896339416504E+00    0.253114295005798340E+01   -0.411947741081224522E+05   -0.602646350544152476E+01    1
    0.509076923131942749E+02    0.419955655932426397E+00   -0.193041336536407471E+01    0.710578680038452148E+00    0.797840118408203125E+00    0.353398752212524414E+01   -0.410454164914742651E+05   -0.602896350544151538E+01    1
    0.589359819889068604E+02    0.127519860863685608E+00   -0.201602321863174438E+01    0.985622406005859375E-01    0.820153236389160156E+00    0.198485493659973145E+01   -0.405923306443768670E+05   -0.603146350544150778E+01    1
    0.573766618967056274E+02    0.446309006214141768E+00   -0.252110230922698975E+01    0.154307806491851807E+01    0.939913094043731689E+00    0.127492284774780273E+01   -0.399713157727378057E+05   -0.603396350544151883E+01    1
    0.531047552824020386E+02    0.641959741711616516E+00   -0.169656497240066528E+01    0.765438795089721680E+00    0.979970395565032959E+00    0.423986244201660156E+01   -0.398233050893027685E+05   -0.603646350544152543E+01    1
    0.535827130079269409E+02    0.149452283978462219E+00   -0.215353828668594360E+01   -0.150930261611938477E+01    0.301365196704864502E+00    0.311519265174865723E+01   -0.395417821947880366E+05   -0.603896350544152405E+01    1
    0.851314842700958252E+02    0.461461827158927862E+00   -0.167640566825866699E+00   -0.241243350505828857E+01    0.962943375110626221E+00    0.437817955017089844E+01   -0.395371070117461859E+05   -0.604146350544151556E+01    1
    0.501410096883773804E+02    0.336858853697776739E+00   -0.172273135185241699E+01   -0.397292017936706543E+00    0.680556416511535645E+00    0.380555176734924316E+01   -0.395370910852892848E+05   -0.604396350544151773E+01    1
    0.972355633974075317E+02    0.198707950115203813E+00   -0.110145771503448486E+01    0.179138231277465820E+01    0.876726984977722168E+00    0.438383507728576660E+01   -0.393114410780567341E+05   -0.604646350544151989E+01    1
    0.888545215129852295E+02    0.494630345702171237E+00   -0.127632057666778564E+01   -0.793407797813415527E+00    0.953307211399078369E+00    0.496514773368835449E+01   -0.390854278557787256E+05   -0.604896350544152739E+01    1
    0.963797569274902344E+02    0.857201337814331027E-01   -0.299454152584075928E+00    0.147339820861816406E+00    0.853994786739349365E+00    0.213411426544189453E+01   -0.388255505223191576E+05   -0.605146350544151179E+01    1
    0.637419372797012329E+02    0.996138066053390558E-01   -0.247453558444976807E+01    0.203645038604736328E+01    0.818829834461212158E+00    0.157697510719299316E+01   -0.377243363159585497E+05   -0.605396350544152728E+01    1
    0.552416622638702393E+02    0.517909631133079529E+00   -0.171170264482498169E+01    0.297407805919647217E+01    0.982925534248352051E+00    0.430329489707946777E+01   -0.376868450656716013E+05   -0.605646350544151968E+01    1
    0.521137923002243042E+02    0.570582741498947166E+00   -0.593500256538391113E+00    0.284570002555847168E+01    0.905985653400421143E+00    0.223417663574218750E+01   -0.362934385746583430E+05   -0.605896350544151474E+01    1
    0.577359467744827271E+02    0.803394645452499417E-01   -0.209862202405929565E+01    0.224472069740295410E+01    0.685295403003692627E+00    0.367166519165039062E+01   -0.353117553115691189E+05   -0.606146350544152135E+01    1
    0.863586694002151489E+02    0.357245236635208074E+00   -0.879799962043762207E+00    0.197359085083007812E+01    0.908931553363800049E+00    0.463488197326660156E+01   -0.348949754811078819E+05   -0.606396350544152796E+01    1
    0.565151393413543701E+02    0.590855529904365517E+00   -0.176817083358764648E+01   -0.560500502586364746E+00    0.933994174003601074E+00    0.175121045112609863E+01   -0.348856224020892332E+05   -0.606646350544152924E+01    1
    0.516093760728836060E+02    0.314518815279006936E+00   -0.108964025974273682E+01   -0.112009692192077637E+01    0.784291386604309082E+00    0.471032762527465820E+01   -0.348321541120192560E+05   -0.606896350544152163E+01    1
    0.920392423868179321E+02    0.331137865781784002E+00   -0.855964422225952148E-02    0.158779871463775635E+01    0.655421912670135498E+00    0.302879738807678223E+01   -0.343486904487182546E+05   -0.607146350544152913E+01    1
    0.509185731410980225E+02    0.508014005422592119E+00   -0.614444553852081299E+00    0.219914603233337402E+01    0.792276382446289062E+00    0.173892903327941895E+01   -0.341813610459217016E+05   -0.607396350544152597E+01    1
    0.619726389646530151E+02    0.107312664389610291E+00   -0.171485424041748047E+01   -0.112665653228759766E+00    0.875037312507629395E+00    0.216719722747802734E+01   -0.341809793182205540E+05   -0.607646350544151126E+01    1
    0.968405783176422119E+02    0.160152292251586892E+00   -0.495759844779968262E-01    0.570584177970886230E+00    0.241348743438720703E-01    0.460637640953063965E+01   -0.338203298367450698E+05   -0.607896350544150810E+01    1
    0.529958099126815796E+02    0.504163259267806918E+00   -0.664928376674652100E+00   -0.140064847469329834E+01    0.882617413997650146E+00    0.358535075187683105E+01   -0.335155989585483621E+05   -0.608146350544151293E+01    1
    0.964420706033706665E+02    0.429239374399185136E+00   -0.233920776844024658E+01   -0.274189746379852295E+01    0.841879308223724365E+00    0.496443176269531250E+01   -0.334464279589540820E+05   -0.608396350544152220E+01    1
