    0.717724130818878479E+02    0.395470061016529650E+00    0.141210053418701242E+00    0.251249225609957083E+01    0.753602940657468253E+03
    0.725821229201540064E+02    0.335273755938052975E+00    0.142126086172873478E+00    0.251966537710256322E+01    0.753602968232656053E+03
    0.716581915582826952E+02    0.399472762615051991E+00    0.138933346371108157E+00    0.242763990946744368E+01    0.753607246091253273E+03
    0.723987122325166013E+02    0.345869370127315001E+00    0.147126749243162908E+00    0.246337295710741699E+01    0.753619193452212016E+03
    0.718505168053180796E+02    0.356025326128838915E+00    0.141343968513587631E+00    0.254650489357198406E+01    0.753625920987459722E+03
    0.719636243217974538E+02    0.385604834924478279E+00    0.144941717062563286E+00    0.245218651620951578E+01    0.753694051147050232E+03
    0.718402327983582722E+02    0.400972502399883690E+00    0.139427510772726582E+00    0.246956456495148924E+01    0.753715795017292635E+03
    0.725145957357345736E+02    0.332830788152944590E+00    0.132473584381275100E+00    0.242631975834600766E+01    0.753718115902878253E+03
    0.717114102553203736E+02    0.393250895653752541E+00    0.142336164325546050E+00    0.248328986353000225E+01    0.753723236215861789E+03
    0.718097719548269993E+02    0.399269653023339832E+00    0.140667512203934753E+00    0.241903238893388783E+01    0.753741533215070604E+03
    0.716939106000391178E+02    0.375532143692142550E+00    0.132579945754293133E+00    0.245779745514806036E+01    0.753747395304830889E+03
    0.717404146660937840E+02    0.370348227669046570E+00    0.138550468972914065E+00    0.259526267003494704E+01    0.753776051589219605E+03
    0.721073865180234179E+02    0.383189780700197657E+00    0.129386377342781855E+00    0.251577431788833827E+01    0.753778420195047261E+03
    0.719817733324716755E+02    0.370011813730368955E+00    0.130376993442866601E+00    0.238481920883339349E+01    0.753779164707238692E+03
    0.721315500924603725E+02    0.386871276827626120E+00    0.140107177256813792E+00    0.247749586356944640E+01    0.753787401115393777E+03
    0.724135095007239755E+02    0.349921102878597068E+00    0.127376355096683935E+00    0.249402113213790866E+01    0.753792850647072896E+03
    0.722663630095065628E+02    0.360962693227616704E+00    0.144767199708543237E+00    0.252586274925181087E+01    0.753804222558735660E+03
    0.721133598742587481E+02    0.375457969148470905E+00    0.143686324473056487E+00    0.252003824808276944E+01    0.753811992994434263E+03
    0.715922213429523140E+02    0.403409356921239026E+00    0.135743678128269318E+00    0.245313953968340748E+01    0.753822519383945291E+03
    0.721069263849462772E+02    0.364944765524644055E+00    0.145979984555931641E+00    0.252348673181350502E+01    0.753851980588155129E+03
    0.716035862764327646E+02    0.395947301564382514E+00    0.139057112783382258E+00    0.246811121060246652E+01    0.753869634265803370E+03
    0.721453609699399863E+02    0.380425098448464449E+00    0.144083081541872216E+00    0.239203558223703094E+01    0.753876445257390174E+03
    0.721093977427362063E+02    0.368635748878437142E+00    0.124907523732439449E+00    0.246395675935646574E+01    0.753882017958776714E+03
    0.723060835659251495E+02    0.372221192884750474E+00    0.132304180569843194E+00    0.251224299309713306E+01    0.753887414774798685E+03
    0.726130253667244574E+02    0.339208557745974415E+00    0.132552132363300740E+00    0.249442519081519043E+01    0.753892147881188066E+03
    0.722291066357619798E+02    0.331707853087869098E+00    0.138766994950814432E+00    0.252115550634093299E+01    0.753905617758238691E+03
    0.721464659940345001E+02    0.337848771563301287E+00    0.132141361849521494E+00    0.252307551889159143E+01    0.753906157160356315E+03
    0.724360697642252518E+02    0.364767674930523311E+00    0.142606100599065616E+00    0.237135232177010824E+01    0.753915603906222827E+03
    0.723005991372475592E+02    0.369280823276860848E+00    0.136830000208332608E+00    0.232900869068148175E+01    0.753924191084032373E+03
    0.720471151951395399E+02    0.361647384235412650E+00    0.138650140839451735E+00    0.260903913138604082E+01    0.753926900101412912E+03
    0.718088993965379672E+02    0.389051705269964854E+00    0.131695726534711982E+00    0.257250866320559179E+01    0.753928309282622990E+03
    0.718426518576871018E+02    0.401188667539444821E+00    0.129834741674900306E+00    0.246390024664120233E+01    0.753937075180558168E+03
    0.717927898136846494E+02    0.387357915156476273E+00    0.139765775517487451E+00    0.256081197906027214E+01    0.753953825171394897E+03
